Date,Open,High,Low,Close,Adj Close,Volume
2024-01-01,249.82,271.06,256.18,263.91,262.95,2391486
2024-01-02,480.29,496.83,497.0,496.92,495.91,3686158
2024-01-03,392.8,402.77,419.11,418.69,420.32,4171900
2024-01-04,339.46,364.06,361.7,362.51,361.5,135438
2024-01-05,162.41,183.26,186.8,185.45,184.54,3780183
2024-01-06,162.4,168.11,182.5,176.76,177.8,1927043
2024-01-07,123.23,150.65,144.31,147.99,147.79,2209391
2024-01-08,446.47,471.32,472.1,471.68,472.79,645719
2024-01-09,340.45,368.99,348.69,361.03,359.29,2811445
2024-01-10,383.23,405.27,398.42,403.66,403.61,818258
2024-01-11,108.23,127.02,115.65,124.9,123.03,4534474
2024-01-12,487.96,501.09,517.61,505.75,504.0,2874140
2024-01-13,432.98,461.03,461.35,461.04,462.67,3574462
2024-01-14,184.94,211.05,187.08,187.52,186.07,191948
2024-01-15,172.73,175.04,194.19,190.44,190.57,2592814
2024-01-16,173.36,175.13,201.19,201.0,200.64,3779457
2024-01-17,221.7,233.61,227.93,231.61,231.0,1216751
2024-01-18,309.9,334.41,327.37,333.69,335.29,963692
2024-01-19,272.78,302.41,300.33,300.83,298.92,227770
2024-01-20,216.49,221.85,218.48,221.61,222.26,4109906
2024-01-21,344.74,362.97,365.97,365.79,367.64,4846917
2024-01-22,155.8,167.84,165.42,167.68,167.93,2447245
2024-01-23,216.86,245.99,244.67,245.13,246.88,2712882
2024-01-24,246.54,271.97,275.71,275.33,273.54,1800008
2024-01-25,282.43,307.74,310.81,309.32,308.99,1836525
2024-01-26,414.07,428.66,428.82,428.78,427.82,4523070
2024-01-27,179.87,192.9,205.87,202.17,203.1,1348530
2024-01-28,305.69,314.62,331.19,326.1,328.02,4476951
2024-01-29,336.97,339.6,347.22,341.1,340.13,2191913
2024-01-30,118.58,144.66,143.62,144.18,144.8,1488768
2024-01-31,343.02,367.59,345.09,352.1,350.89,1575213
2024-02-01,168.21,198.2,186.5,193.64,193.9,2773398
2024-02-02,126.02,155.92,133.69,149.61,149.47,698152
2024-02-03,479.55,496.66,484.05,487.49,489.38,412980
2024-02-04,486.25,509.55,489.48,497.78,498.22,1048336
2024-02-05,423.36,451.76,444.55,445.43,444.83,2888350
2024-02-06,221.85,247.49,232.7,235.38,233.84,1178932
2024-02-07,139.07,147.24,161.09,151.66,150.26,1459087
2024-02-08,373.69,387.76,376.59,378.62,377.52,2541528
2024-02-09,276.06,280.81,286.2,283.37,282.37,2118542
2024-02-10,148.82,177.48,165.46,173.98,175.39,947635
2024-02-11,298.07,316.65,322.0,321.43,321.67,3512626
2024-02-12,113.76,121.39,124.0,122.52,122.61,1396689
2024-02-13,463.73,484.21,482.88,483.22,481.68,3826126
2024-02-14,203.51,222.44,230.21,222.73,224.17,3076983
2024-02-15,365.01,376.4,383.87,380.26,381.15,2856230
2024-02-16,224.68,228.98,232.44,229.65,227.92,2128433
2024-02-17,308.03,328.5,309.73,320.06,320.89,4466397
2024-02-18,318.68,334.77,344.92,344.48,344.65,3688621
2024-02-19,173.94,197.34,175.56,189.35,187.68,4566766
2024-02-20,487.83,503.92,514.2,504.42,504.25,1307991
2024-02-21,410.05,435.77,426.39,432.03,431.97,3741404
2024-02-22,475.8,492.8,504.03,494.83,493.5,1824188
2024-02-23,457.93,475.2,482.1,476.0,477.78,2117359
2024-02-24,339.16,365.58,369.1,368.3,369.7,228401
2024-02-25,468.75,481.45,479.92,480.24,480.92,995132
2024-02-26,135.4,140.28,158.65,147.43,147.28,169292
2024-02-27,178.39,180.23,191.05,186.6,186.25,4701066
2024-02-28,118.09,140.99,133.01,139.71,140.32,3177759
2024-02-29,230.13,249.12,249.33,249.14,249.32,473937
2024-03-01,255.47,276.89,281.81,280.07,278.32,2974391
2024-03-02,208.54,215.72,238.08,232.78,232.83,2691206
2024-03-03,431.5,436.45,454.77,440.47,441.7,1202097
2024-03-04,242.7,244.12,255.82,252.6,252.44,197771
2024-03-05,212.37,223.54,225.59,223.9,222.11,247199
2024-03-06,317.08,335.19,339.47,337.65,338.8,2867281
2024-03-07,156.37,168.74,164.29,167.27,166.07,2742481
2024-03-08,420.88,434.57,425.08,425.99,425.02,4844777
2024-03-09,129.82,157.04,141.1,151.05,149.71,2284316
2024-03-10,494.75,505.85,504.08,504.88,504.2,3612615
2024-03-11,408.9,424.8,418.49,422.19,423.22,1593214
2024-03-12,179.49,203.21,187.26,189.94,190.02,761518
2024-03-13,102.21,114.71,104.43,112.0,110.82,523313
2024-03-14,426.18,445.23,427.7,442.82,444.33,3941586
2024-03-15,382.74,408.75,412.39,411.6,413.12,3224215
2024-03-16,391.6,420.14,405.01,406.46,407.94,3470989
2024-03-17,408.51,413.77,420.65,420.49,419.45,2342214
2024-03-18,129.62,157.49,150.33,154.92,154.73,2340229
2024-03-19,243.39,258.66,250.72,255.54,257.48,1873462
2024-03-20,146.35,154.84,174.9,163.93,165.02,664224
2024-03-21,445.24,459.56,469.05,466.84,464.95,2260397
2024-03-22,349.32,378.74,352.91,363.01,361.27,2009284
2024-03-23,232.36,247.65,245.47,246.76,246.62,2011676
2024-03-24,125.42,135.96,151.92,143.99,145.63,1694532
2024-03-25,224.39,243.76,252.79,243.87,244.03,464418
2024-03-26,230.07,238.04,244.63,243.73,243.72,1482542
2024-03-27,391.84,395.04,410.63,399.79,398.22,4483014
2024-03-28,355.02,359.76,360.87,360.42,361.05,4866854
2024-03-29,454.89,459.6,484.63,473.91,475.2,572621
2024-03-30,288.89,294.29,296.6,294.94,294.47,3539801
2024-03-31,147.84,152.86,176.18,160.03,161.14,4818163
2024-04-01,385.3,404.88,405.14,404.89,406.74,1608099
2024-04-02,404.31,410.59,422.94,421.35,420.17,4204463
2024-04-03,324.51,335.54,340.38,339.87,339.97,3823233
2024-04-04,408.39,435.39,416.08,430.07,429.22,1221569
2024-04-05,297.52,312.26,303.64,308.63,309.8,4571307
2024-04-06,309.09,329.45,316.49,320.04,320.35,1205885
2024-04-07,271.02,277.01,277.42,277.39,277.93,1166083
2024-04-08,110.17,116.74,133.78,132.32,133.51,1984324
2024-04-09,143.16,145.34,154.31,146.29,145.87,3908190
2024-04-10,112.57,118.47,115.25,115.87,117.53,3398445
2024-04-11,354.56,363.64,383.67,377.19,377.32,2752974
2024-04-12,225.74,231.88,252.37,247.73,246.36,3502099
2024-04-13,303.43,307.0,331.33,322.7,323.48,1289180
2024-04-14,463.03,467.53,492.88,491.12,492.29,3343178
2024-04-15,199.72,214.08,205.76,210.08,209.35,4541211
2024-04-16,264.15,271.14,276.64,276.27,277.7,2594182
2024-04-17,402.22,413.78,425.21,416.07,417.69,1818286
2024-04-18,191.52,207.12,212.7,211.4,210.51,4609757
2024-04-19,130.79,151.81,136.25,144.66,146.59,4875313
2024-04-20,215.9,218.04,240.56,220.74,219.3,4373089
2024-04-21,164.49,188.67,172.0,182.85,181.66,2807921
2024-04-22,471.88,491.09,479.37,485.62,484.35,4384142
2024-04-23,423.25,426.62,439.82,435.54,437.11,279160
2024-04-24,353.36,379.7,371.56,374.27,374.88,2579931
2024-04-25,448.58,476.29,466.41,473.02,471.63,451904
2024-04-26,421.47,424.24,425.12,424.25,424.01,588526
2024-04-27,174.63,183.66,201.07,189.55,190.01,847393
2024-04-28,457.02,481.4,465.73,474.47,472.8,3355503
2024-04-29,315.74,338.44,320.49,333.6,335.13,824422
2024-04-30,422.98,429.33,449.75,440.25,441.46,744983
2024-05-01,458.44,465.51,487.15,485.85,485.87,2273429
2024-05-02,227.2,238.95,253.2,245.19,247.05,3145812
2024-05-03,144.02,159.07,168.5,159.47,159.14,4285115
2024-05-04,191.17,210.1,211.18,210.99,212.92,2886280
2024-05-05,270.84,282.54,287.82,284.18,284.85,2948687
2024-05-06,427.21,441.62,430.73,432.92,433.46,1426842
2024-05-07,444.29,466.97,457.14,462.41,461.07,2341256
2024-05-08,102.78,104.84,114.59,113.65,115.17,3699024
2024-05-09,304.3,312.62,312.83,312.74,312.45,4406650
2024-05-10,266.96,288.65,288.94,288.72,287.37,3712418
2024-05-11,188.84,215.8,204.22,208.25,206.3,2291608
2024-05-12,147.95,163.78,151.3,159.6,159.84,3940010
2024-05-13,235.05,251.48,242.43,249.63,249.74,3651771
2024-05-14,477.16,481.27,497.98,482.49,483.37,4089441
2024-05-15,229.28,243.26,232.49,235.02,236.58,970652
2024-05-16,307.52,323.96,333.2,329.51,327.83,2198370
2024-05-17,381.21,389.24,396.57,395.45,396.38,1558485
2024-05-18,245.45,254.26,260.39,254.31,253.06,1577343
2024-05-19,488.71,500.65,506.89,501.11,502.54,3335495
2024-05-20,484.98,486.56,509.89,497.3,498.57,3395744
2024-05-21,200.71,211.05,211.8,211.17,211.33,765612
2024-05-22,298.9,306.03,319.56,312.51,313.35,4004528
2024-05-23,220.35,230.85,237.76,233.45,232.71,2086475
2024-05-24,213.94,218.41,222.68,222.3,222.18,2151912
2024-05-25,114.75,141.58,141.24,141.5,142.78,3154311
2024-05-26,343.83,362.04,367.95,367.2,367.03,295622
2024-05-27,301.07,321.77,321.17,321.66,321.09,1972889
2024-05-28,120.59,144.48,146.26,144.87,144.84,1916862
2024-05-29,211.46,226.91,237.61,230.03,231.34,4036390
2024-05-30,463.31,466.83,484.85,484.2,483.54,1406436
2024-05-31,195.82,212.4,221.1,218.46,217.16,677540
2024-06-01,157.96,175.98,179.18,178.34,179.19,2205690
2024-06-02,295.78,318.4,316.51,317.19,318.49,1598236
2024-06-03,494.26,507.78,513.2,512.72,511.13,4715815
2024-06-04,196.82,201.52,219.65,202.66,201.62,2992410
2024-06-05,368.85,378.08,374.45,376.46,375.03,1414355
2024-06-06,404.65,416.18,431.19,426.61,426.0,2685480
2024-06-07,195.06,214.79,221.34,218.74,218.54,3434083
2024-06-08,391.29,408.84,393.13,400.16,401.15,2474722
2024-06-09,247.11,258.44,272.06,263.88,264.49,2911092
2024-06-10,352.92,382.53,357.66,370.49,370.97,2260229
2024-06-11,353.41,371.98,364.13,371.35,370.76,1532534
2024-06-12,314.31,322.19,336.87,329.58,330.94,1732907
2024-06-13,136.12,140.07,141.78,140.08,139.97,2525967
2024-06-14,434.12,439.55,458.84,442.42,444.34,4685112
2024-06-15,228.31,236.44,253.44,249.9,250.44,2880574
2024-06-16,174.61,180.27,190.32,180.97,179.47,2898939
2024-06-17,116.31,122.72,117.5,118.1,118.81,3996280
2024-06-18,336.36,345.62,345.68,345.64,344.94,2054940
2024-06-19,371.03,377.05,389.92,385.02,385.77,2109409
2024-06-20,106.64,133.64,136.09,133.94,132.22,3182382
2024-06-21,304.84,308.16,324.16,310.27,308.97,3891857
2024-06-22,190.6,206.81,199.13,205.32,206.74,4547871
2024-06-23,358.07,370.97,377.46,372.33,371.24,301464
2024-06-24,169.75,199.24,186.41,190.31,191.66,4749400
2024-06-25,376.38,380.62,399.99,398.42,397.54,2683829
2024-06-26,254.69,267.23,258.8,262.2,262.77,128581
2024-06-27,474.69,503.81,497.76,498.81,499.59,3862256
2024-06-28,155.01,181.11,171.71,178.24,178.29,348540
2024-06-29,236.43,261.12,265.35,263.89,263.11,511590
2024-06-30,145.39,153.87,156.3,153.93,152.78,1428412
2024-07-01,469.88,475.83,489.22,480.64,478.77,3370492
2024-07-02,450.94,471.33,478.96,472.68,471.9,1640369
2024-07-03,203.18,231.13,207.15,210.33,210.94,882328
2024-07-04,363.99,381.14,392.17,382.66,384.42,4819479
2024-07-05,426.89,444.47,447.84,444.73,446.21,3120691
2024-07-06,322.08,331.2,325.05,328.04,329.11,1368097
2024-07-07,311.86,335.18,321.59,329.83,330.98,3310354
2024-07-08,196.74,203.17,218.28,206.72,207.38,1304315
2024-07-09,137.24,147.63,140.19,141.49,140.54,2585508
2024-07-10,458.89,472.22,476.77,474.48,476.11,2386219
2024-07-11,460.17,475.89,471.2,473.07,473.75,1368311
2024-07-12,353.24,361.27,372.25,370.64,370.88,4520784
2024-07-13,235.61,239.94,237.94,238.67,237.12,1299467
2024-07-14,239.68,258.39,265.96,265.44,265.23,174074
2024-07-15,390.38,399.75,419.61,419.1,418.94,2580466
2024-07-16,458.84,476.7,487.94,486.42,487.88,3665180
2024-07-17,454.83,460.31,477.57,460.95,461.13,4493120
2024-07-18,411.95,426.9,416.72,422.32,421.84,800645
2024-07-19,356.81,373.26,379.8,373.48,375.39,3297093
2024-07-20,133.66,136.16,135.37,135.71,134.15,1027481
2024-07-21,164.65,175.41,166.29,169.14,168.83,3604804
2024-07-22,459.42,464.32,469.81,467.03,465.2,72507
2024-07-23,342.57,345.41,357.74,352.32,353.28,1115710
2024-07-24,103.68,133.39,127.02,127.69,129.37,2348377
2024-07-25,140.59,150.94,161.4,154.7,153.82,4397373
2024-07-26,365.4,389.89,379.33,381.61,383.05,816564
2024-07-27,102.02,110.41,110.96,110.62,109.79,3928949
2024-07-28,164.32,185.09,194.24,188.29,189.93,1619473
2024-07-29,319.49,342.54,332.85,334.33,335.34,1721952
2024-07-30,376.76,395.03,390.85,391.1,392.32,747954
2024-07-31,360.78,375.46,366.53,373.5,371.57,2918056
2024-08-01,189.71,202.65,213.76,208.65,210.5,717173
2024-08-02,384.87,395.99,405.99,405.41,406.31,4520579
2024-08-03,194.9,222.86,202.3,222.75,221.97,689447
2024-08-04,230.16,255.25,233.55,234.8,236.12,1071404
2024-08-05,398.6,427.58,419.33,425.07,424.19,2990248
2024-08-06,359.85,364.46,379.83,364.71,366.2,2623987
2024-08-07,439.69,461.88,448.61,451.79,450.24,2763913
2024-08-08,363.05,391.26,391.62,391.57,392.38,2545232
2024-08-09,327.32,333.58,332.7,332.81,332.97,2388907
2024-08-10,137.47,140.4,151.01,147.79,146.18,4542688
2024-08-11,247.09,269.58,275.45,274.86,273.83,2839915
2024-08-12,206.08,223.74,219.25,222.36,220.41,2373162
2024-08-13,197.6,223.01,217.11,217.48,217.36,4891909
2024-08-14,489.2,494.26,501.73,497.93,497.13,925113
2024-08-15,257.24,281.3,266.19,281.25,281.65,2702794
2024-08-16,456.82,463.67,486.35,467.89,467.08,2221549
2024-08-17,352.46,358.2,365.33,360.94,360.14,2355704
2024-08-18,417.92,423.69,444.85,438.37,439.34,4591025
2024-08-19,301.05,325.68,308.72,319.3,317.49,433332
2024-08-20,330.76,351.05,337.94,344.85,346.46,302575
2024-08-21,297.01,313.18,298.91,304.99,306.4,1469700
2024-08-22,178.1,189.5,198.0,196.89,197.56,39336
2024-08-23,388.98,415.42,400.67,413.75,414.12,3211078
2024-08-24,212.31,224.69,238.38,232.22,233.79,1652425
2024-08-25,109.73,134.41,124.45,126.39,125.13,2617622
2024-08-26,358.19,371.92,387.27,381.62,379.94,1896963
2024-08-27,170.84,182.78,177.22,179.52,178.48,2782605
2024-08-28,476.18,490.6,502.37,492.63,493.81,1457947
2024-08-29,481.57,491.31,505.09,494.98,493.12,4186426
2024-08-30,465.95,488.63,489.3,488.78,489.11,3866756
2024-08-31,248.06,263.64,273.56,273.45,275.43,1508339
2024-09-01,106.18,113.92,129.25,122.87,124.29,686296
2024-09-02,471.33,498.42,490.49,494.3,494.39,389039
2024-09-03,271.27,283.41,276.08,276.22,274.47,538714
2024-09-04,486.66,503.42,488.61,492.46,493.78,2921190
2024-09-05,485.45,512.74,513.15,512.84,513.23,4645352
2024-09-06,441.2,460.31,460.09,460.12,458.58,562439
2024-09-07,217.78,222.17,241.88,231.33,229.7,4152535
2024-09-08,254.04,282.29,269.0,271.86,273.5,283452
2024-09-09,440.45,459.66,444.86,445.04,445.71,788883
2024-09-10,226.77,237.48,231.4,232.87,234.18,4381047
2024-09-11,167.8,172.84,188.68,173.22,174.73,4953772
2024-09-12,322.72,346.75,336.2,344.65,344.94,2199921
2024-09-13,474.46,493.44,481.28,492.95,493.02,3208156
2024-09-14,378.41,394.88,393.67,394.26,393.98,4832139
2024-09-15,328.02,354.95,330.89,333.53,332.79,4964582
2024-09-16,138.87,162.74,156.75,160.03,159.77,772371
